iter	Passed	Remaining
0	1044	103397
1	1416	69391
2	1818	58782
3	2174	52177
4	2731	51895
5	3184	49897
6	3496	46447
7	3874	44559
8	4217	42642
9	4614	41528
10	5153	41696
11	5516	40450
12	5831	39026
13	6182	37976
14	6523	36964
15	6833	35875
16	7227	35285
17	7592	34588
18	8275	35277
19	8674	34698
20	9166	34482
21	9551	33865
22	9901	33148
23	10290	32587
24	10629	31889
25	10990	31281
26	11322	30612
27	11701	30090
28	12212	29898
29	12645	29505
30	13006	28949
31	13403	28481
32	13883	28186
33	14493	28133
34	14992	27843
35	15451	27469
36	15862	27008
37	16252	26518
38	16739	26182
39	17242	25864
40	17645	25391
41	18181	25107
42	18836	24968
43	19322	24592
44	19985	24426
45	20569	24146
46	21029	23714
47	21446	23233
48	21901	22795
49	22271	22271
50	22646	21758
51	23089	21313
52	23516	20854
53	24232	20642
54	24765	20262
55	25163	19771
56	25531	19260
57	25883	18743
58	26251	18242
59	26682	17788
60	27267	17433
61	28264	17323
62	28842	16939
63	29276	16468
64	29665	15973
65	30031	15470
66	30412	14979
67	30770	14480
68	31169	14003
69	31572	13531
70	31968	13057
71	32378	12591
72	32851	12150
73	33534	11782
74	34375	11458
75	35071	11075
76	35677	10656
77	36639	10334
78	37074	9855
79	37554	9388
80	37953	8902
81	38314	8410
82	38676	7921
83	39078	7443
84	39453	6962
85	39852	6487
86	40261	6016
87	40660	5544
88	41015	5069
89	41368	4596
90	41698	4124
91	42037	3655
92	42435	3194
93	42809	2732
94	43187	2273
95	43775	1823
96	44238	1368
97	44562	909
98	44939	453
99	45387	0
